,TREE_NUMBER,DESCRIPTOR
18519,C20.683.515.800,Macrophage Activation Syndrome
18520,C20.683.515.840,Marek Disease
18521,C20.683.515.845,Multiple Myeloma
18522,C20.683.515.845.500,"Leukemia, Plasma Cell"
18523,C20.683.515.880,Plasmacytoma
18524,C20.683.515.920,Sezary Syndrome
18525,C20.683.515.950,Tumor Lysis Syndrome
18526,C20.683.780,Paraproteinemias
18527,C20.683.780.250,Cryoglobulinemia
18528,C20.683.780.490,Heavy Chain Disease
18529,C20.683.780.490.512,Immunoproliferative Small Intestinal Disease
18530,C20.683.780.565,Immunoglobulin Light-chain Amyloidosis
18531,C20.683.780.640,Monoclonal Gammopathy of Undetermined Significance
18532,C20.683.780.640.700,Schnitzler Syndrome
18533,C20.683.780.650,Multiple Myeloma
18534,C20.683.780.750,POEMS Syndrome
18535,C20.683.780.838,Smoldering Multiple Myeloma
18536,C20.683.780.925,Waldenstrom Macroglobulinemia
18537,C20.841,"Purpura, Thrombocytopenic"
18538,C20.841.600,"Purpura, Thrombocytopenic, Idiopathic"
18539,C20.920,Transfusion Reaction
18540,C20.920.500,Transfusion-Related Acute Lung Injury
18541,C21,Disorders of Environmental Origin
18542,C21.223,Environmental Illness
18543,C21.223.500,Multiple Chemical Sensitivity
18544,C21.223.750,Sick Building Syndrome
18545,C21.676,Preconception Injuries
18546,C22,Animal Diseases
18547,C22.021,"Abortion, Veterinary"
18548,C22.021.322,"Brucellosis, Bovine"
18549,C22.039,Actinobacillosis
18550,C22.062,Aleutian Mink Disease
18551,C22.073,Anal Gland Neoplasms
18552,C22.085,Anaplasmosis
18553,C22.131,Bird Diseases
18554,C22.131.094,Avian Leukosis
18555,C22.131.321,Fowlpox
18556,C22.131.450,Influenza in Birds
18557,C22.131.498,"Malaria, Avian"
18558,C22.131.546,Marek Disease
18559,C22.131.630,Newcastle Disease
18560,C22.131.728,Poultry Diseases
18561,C22.131.728.250,"Enteritis, Transmissible, of Turkeys"
18562,C22.131.728.650,Poult Enteritis Mortality Syndrome
18563,C22.131.780,"Reticuloendotheliosis, Avian"
18564,C22.131.800,"Sarcoma, Avian"
18565,C22.131.921,"Tuberculosis, Avian"
18566,C22.152,Borna Disease
18567,C22.180,Cat Diseases
18568,C22.180.350,Feline Acquired Immunodeficiency Syndrome
18569,C22.180.440,Feline Infectious Peritonitis
18570,C22.180.460,Feline Panleukopenia
18571,C22.180.500,"Leukemia, Feline"
18572,C22.196,Cattle Diseases
18573,C22.196.090,Bovine Respiratory Disease Complex
18574,C22.196.090.600,"Pasteurellosis, Pneumonic"
18575,C22.196.090.660,"Pneumonia, Atypical Interstitial, of Cattle"
18576,C22.196.090.675,"Pneumonia of Calves, Enzootic"
18577,C22.196.106,Bovine Virus Diarrhea-Mucosal Disease
18578,C22.196.148,"Brucellosis, Bovine"
18579,C22.196.250,"Encephalopathy, Bovine Spongiform"
18580,C22.196.260,Enzootic Bovine Leukosis
18581,C22.196.274,Ephemeral Fever
18582,C22.196.339,Freemartinism
18583,C22.196.400,"Hemorrhagic Syndrome, Bovine"
18584,C22.196.429,Infectious Bovine Rhinotracheitis
18585,C22.196.497,Lumpy Skin Disease
18586,C22.196.540,Malignant Catarrh
18587,C22.196.581,"Mastitis, Bovine"
18588,C22.196.831,Theileriasis
18589,C22.196.888,"Trypanosomiasis, Bovine"
18590,C22.196.927,"Tuberculosis, Bovine"
18591,C22.196.963,White Heifer Disease
18592,C22.214,Digital Dermatitis
18593,C22.232,"Disease Models, Animal"
18594,C22.268,Dog Diseases
18595,C22.268.265,Distemper
18596,C22.268.465,"Hepatitis, Infectious Canine"
18597,C22.268.485,"Hip Dysplasia, Canine"
18598,C22.313,Enterotoxemia
18599,C22.331,Erysipelothrix Infections
18600,C22.331.693,Swine Erysipelas
18601,C22.362,Fish Diseases
18602,C22.362.224,Furunculosis
18603,C22.362.450,"Hemorrhagic Septicemia, Viral"
18604,C22.380,Foot-and-Mouth Disease
18605,C22.394,Foot Rot
18606,C22.405,Goat Diseases
18607,C22.434,Heartwater Disease
18608,C22.467,"Hepatitis, Animal"
18609,C22.467.435,"Hepatitis, Viral, Animal"
18610,C22.467.435.442,"Hepatitis, Infectious Canine"
18611,C22.467.435.812,Rift Valley Fever
18612,C22.488,Horse Diseases
18613,C22.488.088,African Horse Sickness
18614,C22.488.304,Equine Infectious Anemia
18615,C22.488.409,Glanders
18616,C22.488.861,"Strongyle Infections, Equine"
18617,C22.500,"Keratoconjunctivitis, Infectious"
18618,C22.510,"Lameness, Animal"
18619,C22.520,"Mammary Neoplasms, Animal"
18620,C22.557,Mink Viral Enteritis
18621,C22.595,"Muscular Dystrophy, Animal"
18622,C22.595.740,White Muscle Disease
18623,C22.627,"Myxomatosis, Infectious"
18624,C22.674,"Parasitic Diseases, Animal"
18625,C22.674.377,"Helminthiasis, Animal"
18626,C22.674.377.315,Dictyocaulus Infections
18627,C22.674.377.320,Dirofilariasis
18628,C22.674.377.444,Fascioloidiasis
18629,C22.674.377.656,Monieziasis
18630,C22.674.377.820,Setariasis
18631,C22.674.377.840,"Strongyle Infections, Equine"
18632,C22.674.377.868,Toxocariasis
18633,C22.674.710,"Protozoan Infections, Animal"
18634,C22.674.710.122,Babesiosis
18635,C22.674.710.235,Cryptosporidiosis
18636,C22.674.710.367,Dourine
18637,C22.674.710.735,Theileriasis
18638,C22.674.710.817,"Toxoplasmosis, Animal"
18639,C22.674.710.896,"Trypanosomiasis, Bovine"
18640,C22.688,Paratuberculosis
18641,C22.695,Parturient Paresis
18642,C22.706,Peste-des-Petits-Ruminants
18643,C22.717,"Pleuropneumonia, Contagious"
18644,C22.735,Primate Diseases
18645,C22.735.050,Ape Diseases
18646,C22.735.500,Monkey Diseases
18647,C22.735.500.500,Marburg Virus Disease
18648,C22.735.500.850,Simian Acquired Immunodeficiency Syndrome
18649,C22.735.750,Monkeypox
18650,C22.742,Pseudorabies
18651,C22.761,Pythiosis
18652,C22.780,Rinderpest
18653,C22.795,Rodent Diseases
18654,C22.795.239,"Ectromelia, Infectious"
18655,C22.795.600,Monkeypox
18656,C22.795.650,Murine Acquired Immunodeficiency Syndrome
18657,C22.812,"Salmonella Infections, Animal"
18658,C22.836,Sheep Diseases
18659,C22.836.120,Bluetongue
18660,C22.836.160,Border Disease
18661,C22.836.259,"Ecthyma, Contagious"
18662,C22.836.435,Louping Ill
18663,C22.836.583,Nairobi Sheep Disease
18664,C22.836.660,"Pneumonia, Progressive Interstitial, of Sheep"
18665,C22.836.715,"Pulmonary Adenomatosis, Ovine"
18666,C22.836.799,Scrapie
18667,C22.836.886,Swayback
18668,C22.836.900,Visna
18669,C22.880,Steatitis
18670,C22.905,Swine Diseases
18671,C22.905.072,African Swine Fever
18672,C22.905.170,Classical Swine Fever
18673,C22.905.260,Edema Disease of Swine
18674,C22.905.323,"Encephalomyelitis, Enzootic Porcine"
18675,C22.905.382,"Epidermitis, Exudative, of Swine"
18676,C22.905.469,"Gastroenteritis, Transmissible, of Swine"
18677,C22.905.626,"Pneumonia of Swine, Mycoplasmal"
18678,C22.905.690,Porcine Postweaning Multisystemic Wasting Syndrome
18679,C22.905.700,Porcine Reproductive and Respiratory Syndrome
18680,C22.905.832,Swine Erysipelas
18681,C22.905.850,Swine Vesicular Disease
18682,C22.905.927,Vesicular Exanthema of Swine
18683,C22.950,"Venereal Tumors, Veterinary"
18684,C22.952,Vesicular Stomatitis
18685,C22.955,"Wasting Disease, Chronic"
18686,C22.969,Zoonoses
18687,C23,"Pathological Conditions, Signs and Symptoms"
18688,C23.149,Morphological and Microscopic Findings
18689,C23.149.249,Adenocarcinoma in Situ
18690,C23.149.500,Atypical Squamous Cells of the Cervix
18691,C23.149.625,Margins of Excision
18692,C23.149.750,Squamous Intraepithelial Lesions of the Cervix
18693,C23.300,"Pathological Conditions, Anatomical"
18694,C23.300.008,Agenesis of Corpus Callosum
18695,C23.300.017,Airway Remodeling
18696,C23.300.035,Alopecia
18697,C23.300.035.500,Loose Anagen Hair Syndrome
18698,C23.300.052,Atrial Remodeling
18699,C23.300.070,Atrophy
18700,C23.300.070.500,Muscular Atrophy
18701,C23.300.070.500.500,Sarcopenia
18702,C23.300.122,Blister
18703,C23.300.175,Calculi
18704,C23.300.175.350,Dental Calculus
18705,C23.300.175.525,Gallstones
18706,C23.300.175.700,Salivary Calculi
18707,C23.300.175.700.325,Salivary Duct Calculi
18708,C23.300.175.700.500,Salivary Gland Calculi
18709,C23.300.175.850,Urinary Calculi
18710,C23.300.175.850.550,Kidney Calculi
18711,C23.300.175.850.550.500,Staghorn Calculi
18712,C23.300.175.850.750,Ureteral Calculi
18713,C23.300.175.850.875,Urinary Bladder Calculi
18714,C23.300.190,Accessory Atrioventricular Bundle
18715,C23.300.250,Choristoma
18716,C23.300.287,"Constriction, Pathologic"
18717,C23.300.306,Cysts
18718,C23.300.306.500,Parovarian Cyst
18719,C23.300.306.750,Spermatocele
18720,C23.300.325,"Dilatation, Pathologic"
18721,C23.300.415,Diverticulum
18722,C23.300.415.500,"Diverticulum, Colon"
18723,C23.300.415.625,"Diverticulum, Esophageal"
18724,C23.300.415.625.900,Zenker Diverticulum
18725,C23.300.415.687,"Diverticulum, Stomach"
18726,C23.300.415.750,Meckel Diverticulum
18727,C23.300.505,Facial Asymmetry
18728,C23.300.575,Fistula
18729,C23.300.575.150,Cutaneous Fistula
18730,C23.300.575.185,Digestive System Fistula
18731,C23.300.575.185.150,Biliary Fistula
18732,C23.300.575.185.250,Esophageal Fistula
18733,C23.300.575.185.250.725,Tracheoesophageal Fistula
18734,C23.300.575.185.375,Gastric Fistula
18735,C23.300.575.185.550,Intestinal Fistula
18736,C23.300.575.185.550.600,Rectal Fistula
18737,C23.300.575.185.550.600.650,Rectovaginal Fistula
18738,C23.300.575.185.775,Pancreatic Fistula
18739,C23.300.575.500,Oral Fistula
18740,C23.300.575.500.275,Dental Fistula
18741,C23.300.575.500.550,Oroantral Fistula
18742,C23.300.575.500.775,Salivary Gland Fistula
18743,C23.300.575.687,Respiratory Tract Fistula
18744,C23.300.575.687.225,Bronchial Fistula
18745,C23.300.575.825,Urinary Fistula
18746,C23.300.575.825.250,Urinary Bladder Fistula
18747,C23.300.575.825.250.775,Vesicovaginal Fistula
18748,C23.300.575.925,Vaginal Fistula
18749,C23.300.575.925.558,Rectovaginal Fistula
18750,C23.300.575.925.816,Vesicovaginal Fistula
18751,C23.300.575.950,Vascular Fistula
18752,C23.300.575.950.150,Arterio-Arterial Fistula
18753,C23.300.575.950.150.500,Bland White Garland Syndrome
18754,C23.300.575.950.250,Arteriovenous Fistula
18755,C23.300.575.950.250.500,Carotid-Cavernous Sinus Fistula
18756,C23.300.707,Hernia
18757,C23.300.707.186,Encephalocele
18758,C23.300.707.374,"Hernia, Abdominal"
18759,C23.300.707.374.500,Gastroschisis
18760,C23.300.707.374.750,"Hernia, Femoral"
18761,C23.300.707.374.875,"Hernia, Inguinal"
18762,C23.300.707.374.937,"Hernia, Ventral"
18763,C23.300.707.374.937.500,"Hernia, Umbilical"
18764,C23.300.707.500,"Hernia, Diaphragmatic"
18765,C23.300.707.500.116,"Hernias, Diaphragmatic, Congenital"
18766,C23.300.707.500.233,"Hernia, Diaphragmatic, Traumatic"
18767,C23.300.707.500.467,"Hernia, Hiatal"
18768,C23.300.707.937,"Hernia, Obturator"
18769,C23.300.707.945,Incisional Hernia
18770,C23.300.707.952,Intervertebral Disc Displacement
18771,C23.300.707.968,Meningocele
18772,C23.300.707.984,Rectocele
18773,C23.300.775,Hypertrophy
18774,C23.300.775.250,Cardiomegaly
18775,C23.300.775.250.400,"Hypertrophy, Left Ventricular"
18776,C23.300.775.250.401,"Hypertrophy, Right Ventricular"
18777,C23.300.775.525,Hepatomegaly
18778,C23.300.775.750,Splenomegaly
18779,C23.300.808,Leg Length Inequality
18780,C23.300.816,Leukoplakia
18781,C23.300.816.513,"Leukoplakia, Oral"
18782,C23.300.816.513.500,"Leukoplakia, Hairy"
18783,C23.300.818,Microvascular Rarefaction
18784,C23.300.820,"Nails, Malformed"
18785,C23.300.820.500,Yellow Nail Syndrome
18786,C23.300.821,"Plaque, Amyloid"
18787,C23.300.823,"Plaque, Atherosclerotic"
18788,C23.300.825,Polyps
18789,C23.300.825.411,Intestinal Polyps
18790,C23.300.825.411.235,Colonic Polyps
18791,C23.300.825.557,Nasal Polyps
18792,C23.300.842,Prolapse
18793,C23.300.842.624,Pelvic Organ Prolapse
18794,C23.300.842.624.249,Cystocele
18795,C23.300.842.624.500,Rectal Prolapse
18796,C23.300.842.624.750,Uterine Prolapse
18797,C23.300.842.624.875,Visceral Prolapse
18798,C23.300.909,"Rupture, Spontaneous"
18799,C23.300.925,Solitary Kidney
18800,C23.300.940,Spontaneous Perforation
18801,C23.300.955,Tertiary Lymphoid Structures
18802,C23.300.970,Torsion Abnormality
18803,C23.300.970.249,Bone Anteversion
18804,C23.300.970.249.500,Coxa Vara
18805,C23.300.970.374,Bone Retroversion
18806,C23.300.970.374.500,Coxa Valga
18807,C23.300.970.500,Intestinal Volvulus
18808,C23.300.970.750,Uterine Retroversion
18809,C23.300.977,Vascular Remodeling
18810,C23.300.985,Ventricular Remodeling
18811,C23.550,Pathologic Processes
18812,C23.550.035,Acantholysis
18813,C23.550.073,"Arrhythmias, Cardiac"
18814,C23.550.073.093,"Arrhythmia, Sinus"
18815,C23.550.073.093.249,Sick Sinus Syndrome
18816,C23.550.073.093.500,"Sinus Arrest, Cardiac"
18817,C23.550.073.198,Atrial Fibrillation
18818,C23.550.073.248,Atrial Flutter
18819,C23.550.073.300,Bradycardia
18820,C23.550.073.325,"Cardiac Complexes, Premature"
18821,C23.550.073.325.050,Atrial Premature Complexes
18822,C23.550.073.325.800,Ventricular Premature Complexes
18823,C23.550.073.425,Heart Block
18824,C23.550.073.425.025,Adams-Stokes Syndrome
18825,C23.550.073.425.062,Atrioventricular Block
18826,C23.550.073.425.100,Bundle-Branch Block
18827,C23.550.073.425.270,Interatrial Block
18828,C23.550.073.425.440,Sick Sinus Syndrome
18829,C23.550.073.425.780,Sinoatrial Block
18830,C23.550.073.547,Long QT Syndrome
18831,C23.550.073.547.070,Andersen Syndrome
18832,C23.550.073.547.720,Romano-Ward Syndrome
18833,C23.550.073.670,Parasystole
18834,C23.550.073.845,Tachycardia
18835,C23.550.073.845.695,"Tachycardia, Paroxysmal"
18836,C23.550.073.845.787,"Tachycardia, Reciprocating"
18837,C23.550.073.845.787.500,"Tachycardia, Atrioventricular Nodal Reentry"
18838,C23.550.073.845.787.750,"Tachycardia, Sinoatrial Nodal Reentry"
18839,C23.550.073.845.880,"Tachycardia, Supraventricular"
18840,C23.550.073.845.880.315,"Tachycardia, Ectopic Atrial"
18841,C23.550.073.845.880.320,"Tachycardia, Ectopic Junctional"
18842,C23.550.073.845.880.845,"Tachycardia, Sinus"
18843,C23.550.073.845.940,"Tachycardia, Ventricular"
18844,C23.550.073.845.940.349,Accelerated Idioventricular Rhythm
18845,C23.550.073.845.940.700,Torsades de Pointes
18846,C23.550.073.922,Ventricular Fibrillation
18847,C23.550.073.961,Ventricular Flutter
18848,C23.550.081,Ascites
18849,C23.550.113,Atrial Remodeling
18850,C23.550.145,Azotemia
18851,C23.550.161,Cardiotoxicity
18852,C23.550.177,Channelopathies
18853,C23.550.210,Chromosome Aberrations
18854,C23.550.210.024,Abnormal Karyotype
18855,C23.550.210.024.500,XYY Karyotype
18856,C23.550.210.050,Aneuploidy
18857,C23.550.210.050.500,Monosomy
18858,C23.550.210.050.500.500,Chromosome Deletion
18859,C23.550.210.050.625,Tetrasomy
18860,C23.550.210.050.750,Trisomy
18861,C23.550.210.110,Chromosomal Instability
18862,C23.550.210.110.180,Chromosome Fragility
18863,C23.550.210.170,Chromosome Breakage
18864,C23.550.210.182,Chromosome Duplication
18865,C23.550.210.182.249,Tetrasomy
18866,C23.550.210.182.500,Trisomy
18867,C23.550.210.190,Chromosome Inversion
18868,C23.550.210.310,Chromothripsis
18869,C23.550.210.430,Isochromosomes
18870,C23.550.210.570,"Micronuclei, Chromosome-Defective"
18871,C23.550.210.645,"Nondisjunction, Genetic"
18872,C23.550.210.645.890,Uniparental Disomy
18873,C23.550.210.702,Polyploidy
18874,C23.550.210.702.249,Tetraploidy
18875,C23.550.210.702.500,Triploidy
18876,C23.550.210.760,Ring Chromosomes
18877,C23.550.210.815,Sex Chromosome Aberrations
18878,C23.550.210.815.970,XYY Karyotype
18879,C23.550.210.870,"Translocation, Genetic"
18880,C23.550.210.870.680,Philadelphia Chromosome
18881,C23.550.260,Death
18882,C23.550.260.095,Asphyxia
18883,C23.550.260.127,Body Remains
18884,C23.550.260.159,Brain Death
18885,C23.550.260.224,Cadaver
18886,C23.550.260.224.200,Corpse Dismemberment
18887,C23.550.260.224.617,Postmortem Changes
18888,C23.550.260.224.617.236,Autolysis
18889,C23.550.260.224.617.839,Rigor Mortis
18890,C23.550.260.322,"Death, Sudden"
18891,C23.550.260.322.250,"Death, Sudden, Cardiac"
18892,C23.550.260.322.250.500,Karoshi Death
18893,C23.550.260.322.625,Sudden Infant Death
18894,C23.550.260.393,Drowning
18895,C23.550.260.440,Embryo Loss
18896,C23.550.260.585,Fetal Death
18897,C23.550.260.585.260,Fetal Resorption
18898,C23.550.260.585.630,Stillbirth
18899,C23.550.260.657,Infant Death
18902,C23.550.260.657.500,Sudden Infant Death
18903,C23.550.260.730,Parental Death
18904,C23.550.260.730.500,Maternal Death
18905,C23.550.260.865,Perinatal Death
18906,C23.550.274,Dehydration
18907,C23.550.277,Delayed Graft Function
18908,C23.550.288,Disease
18909,C23.550.288.500,Syndrome
18910,C23.550.291,Disease Attributes
18911,C23.550.291.125,Acute Disease
18912,C23.550.291.187,Asymptomatic Diseases
18913,C23.550.291.187.500,Asymptomatic Infections
18914,C23.550.291.250,Catastrophic Illness
18915,C23.550.291.500,Chronic Disease
18916,C23.550.291.500.500,Multiple Chronic Conditions
18917,C23.550.291.500.750,Noncommunicable Diseases
18918,C23.550.291.562,Convalescence
18919,C23.550.291.625,Critical Illness
18920,C23.550.291.656,Disease Progression
18921,C23.550.291.656.350,Clinical Deterioration
18922,C23.550.291.656.700,"Remission, Spontaneous"
18923,C23.550.291.671,Disease Resistance
18924,C23.550.291.687,Disease Susceptibility
18925,C23.550.291.687.500,Genetic Predisposition to Disease
18926,C23.550.291.687.500.500,"Anticipation, Genetic"
18927,C23.550.291.750,Diseases in Twins
18928,C23.550.291.781,Emergencies
18929,C23.550.291.812,Facies
18930,C23.550.291.875,Iatrogenic Disease
18931,C23.550.291.875.500,Cross Infection
18932,C23.550.291.875.500.500,Healthcare-Associated Pneumonia
18933,C23.550.291.883,Late Onset Disorders
18934,C23.550.291.890,Neglected Diseases
18935,C23.550.291.906,Rare Diseases
18936,C23.550.291.937,Recurrence
18937,C23.550.291.937.500,Symptom Flare Up
18938,C23.550.308,Dysbiosis
18939,C23.550.325,Emphysema
18940,C23.550.325.250,Mediastinal Emphysema
18941,C23.550.325.500,Subcutaneous Emphysema
18942,C23.550.325.500.500,alpha 1-Antitrypsin Deficiency
18943,C23.550.340,Extravasation of Diagnostic and Therapeutic Materi
18945,C23.550.340.500,Injection Site Reaction
18946,C23.550.347,Femoracetabular Impingement
18947,C23.550.355,Fibrosis
18948,C23.550.355.274,Cicatrix
18949,C23.550.355.274.505,"Cicatrix, Hypertrophic"
18950,C23.550.355.274.510,Keloid
18951,C23.550.355.274.840,Tissue Adhesions
18952,C23.550.355.550,Nephrogenic Fibrosing Dermopathy
18953,C23.550.355.625,Peritoneal Fibrosis
18954,C23.550.355.700,Retroperitoneal Fibrosis
18955,C23.550.359,Frailty
18956,C23.550.362,Genomic Instability
18957,C23.550.362.180,Chromosomal Instability
18958,C23.550.362.180.180,Chromosome Fragility
18959,C23.550.362.590,Microsatellite Instability
18960,C23.550.369,Gliosis
18961,C23.550.382,Granuloma
18962,C23.550.382.250,Eosinophilic Granuloma
18963,C23.550.382.375,Granuloma Annulare
18964,C23.550.382.437,"Granuloma, Foreign-Body"
18965,C23.550.382.468,"Granuloma, Giant Cell"
18966,C23.550.382.875,"Granuloma, Plasma Cell"
18967,C23.550.382.937,"Granuloma, Pyogenic"
18968,C23.550.382.968,"Granuloma, Respiratory Tract"
18969,C23.550.382.968.500,"Granuloma, Laryngeal"
18970,C23.550.382.984,Necrobiotic Xanthogranuloma
18971,C23.550.384,"Granulomatosis, Orofacial"
18972,C23.550.393,Growth Disorders
18973,C23.550.393.450,Fetal Growth Retardation
18974,C23.550.403,Hemolysis
18975,C23.550.414,Hemorrhage
18976,C23.550.414.300,"Blood Loss, Surgical"
18977,C23.550.414.625,Ecchymosis
18978,C23.550.414.712,Epistaxis
18979,C23.550.414.734,Exsanguination
18980,C23.550.414.756,Eye Hemorrhage
18981,C23.550.414.756.300,Choroid Hemorrhage
18982,C23.550.414.756.550,Hyphema
18983,C23.550.414.756.775,Retinal Hemorrhage
18984,C23.550.414.756.887,Vitreous Hemorrhage
18985,C23.550.414.788,Gastrointestinal Hemorrhage
18986,C23.550.414.788.400,Hematemesis
18987,C23.550.414.788.600,Melena
18988,C23.550.414.788.700,Peptic Ulcer Hemorrhage
18989,C23.550.414.794,Hemarthrosis
18990,C23.550.414.817,Hematocele
18991,C23.550.414.838,Hematoma
18992,C23.550.414.838.349,"Hematoma, Epidural, Cranial"
18993,C23.550.414.838.355,"Hematoma, Epidural, Spinal"
18994,C23.550.414.838.700,"Hematoma, Subdural"
18995,C23.550.414.838.700.100,"Hematoma, Subdural, Acute"
18996,C23.550.414.838.700.200,"Hematoma, Subdural, Chronic"
18997,C23.550.414.838.700.400,"Hematoma, Subdural, Intracranial"
18998,C23.550.414.838.700.700,"Hematoma, Subdural, Spinal"
18999,C23.550.414.849,Hematuria
19000,C23.550.414.864,Hemobilia
19001,C23.550.414.888,Hemoperitoneum
19002,C23.550.414.896,Hemoptysis
19003,C23.550.414.904,Hemothorax
19004,C23.550.414.904.500,Hemopneumothorax
19005,C23.550.414.913,Intracranial Hemorrhages
19006,C23.550.414.913.100,Cerebral Hemorrhage
19007,C23.550.414.913.100.200,Basal Ganglia Hemorrhage
19008,C23.550.414.913.100.200.500,Putaminal Hemorrhage
19009,C23.550.414.913.100.600,Cerebral Intraventricular Hemorrhage
19010,C23.550.414.913.400,"Hematoma, Epidural, Cranial"
19011,C23.550.414.913.700,"Hematoma, Subdural"
19012,C23.550.414.913.700.100,"Hematoma, Subdural, Acute"
19013,C23.550.414.913.700.200,"Hematoma, Subdural, Chronic"
19014,C23.550.414.913.700.400,"Hematoma, Subdural, Intracranial"
19015,C23.550.414.913.850,Subarachnoid Hemorrhage
19016,C23.550.414.922,Oral Hemorrhage
19017,C23.550.414.922.500,Gingival Hemorrhage
19018,C23.550.414.941,Postoperative Hemorrhage
19019,C23.550.414.941.500,Endoleak
19020,C23.550.414.950,Purpura
19021,C23.550.414.950.230,Purpura Fulminans
19022,C23.550.414.950.250,"Purpura, Hyperglobulinemic"
19023,C23.550.414.950.375,"Purpura, Schoenlein-Henoch"
19024,C23.550.414.950.687,"Purpura, Thrombocytopenic"
19025,C23.550.414.950.687.600,"Purpura, Thrombocytopenic, Idiopathic"
19026,C23.550.414.950.687.680,"Purpura, Thrombotic Thrombocytopenic"
19027,C23.550.414.950.843,Waterhouse-Friderichsen Syndrome
19028,C23.550.414.960,Retrobulbar Hemorrhage
19029,C23.550.414.980,"Shock, Hemorrhagic"
19030,C23.550.414.993,Uterine Hemorrhage
19031,C23.550.414.993.350,Menorrhagia
19032,C23.550.414.993.700,Metrorrhagia
19033,C23.550.414.993.850,Postpartum Hemorrhage
19034,C23.550.421,Hyperammonemia
19035,C23.550.425,Hyperamylasemia
19036,C23.550.429,Hyperbilirubinemia
19037,C23.550.429.249,"Hyperbilirubinemia, Neonatal"
19038,C23.550.429.249.500,"Jaundice, Neonatal"
19039,C23.550.429.500,Jaundice
19040,C23.550.429.500.755,"Jaundice, Obstructive"
19041,C23.550.429.750,Kernicterus
19042,C23.550.444,Hyperplasia
19043,C23.550.449,Hyperuricemia
19044,C23.550.455,Hypovolemia
19045,C23.550.470,Inflammation
19046,C23.550.470.099,Acute-Phase Reaction
19047,C23.550.470.251,Foreign-Body Reaction
19048,C23.550.470.251.500,Implant Capsular Contracture
19049,C23.550.470.448,Neurogenic Inflammation
19050,C23.550.470.640,Seroma
19051,C23.550.470.646,Serositis
19052,C23.550.470.756,Suppuration
19053,C23.550.470.756.100,Abscess
19054,C23.550.470.756.200,Cellulitis
19055,C23.550.470.756.305,Empyema
19056,C23.550.470.756.305.500,"Empyema, Subdural"
19057,C23.550.470.790,Systemic Inflammatory Response Syndrome
19058,C23.550.470.790.500,Sepsis
19059,C23.550.470.790.500.100,Bacteremia
19060,C23.550.470.790.500.100.275,Endotoxemia
19061,C23.550.470.790.500.100.375,Hemorrhagic Septicemia
19062,C23.550.470.790.500.360,Fungemia
19063,C23.550.470.790.500.360.150,Candidemia
19064,C23.550.470.790.500.470,Neonatal Sepsis
19065,C23.550.470.790.500.580,Parasitemia
19066,C23.550.470.790.500.800,"Shock, Septic"
19067,C23.550.470.790.500.900,Viremia
19068,C23.550.470.790.500.900.400,"Hemorrhagic Septicemia, Viral"
19069,C23.550.505,Intraoperative Complications
19070,C23.550.505.300,"Blood Loss, Surgical"
19071,C23.550.505.400,Intraoperative Awareness
19072,C23.550.505.700,Malignant Hyperthermia
19073,C23.550.513,Ischemia
19074,C23.550.513.355,Infarction
19075,C23.550.513.677,No-Reflow Phenomenon
19076,C23.550.522,Leukoaraiosis
19077,C23.550.526,Leukocytosis
19078,C23.550.537,Lithiasis
19079,C23.550.543,Long Term Adverse Effects
19080,C23.550.548,Malacoplakia
19081,C23.550.568,Menstruation Disturbances
19082,C23.550.568.500,Amenorrhea
19083,C23.550.568.750,Dysmenorrhea
19084,C23.550.568.875,Menorrhagia
19085,C23.550.568.937,Oligomenorrhea
19086,C23.550.568.968,Premenstrual Syndrome
19087,C23.550.568.968.500,Premenstrual Dysphoric Disorder
19088,C23.550.589,Metaplasia
19089,C23.550.589.500,"Neovascularization, Pathologic"
19090,C23.550.589.500.145,Choroidal Neovascularization
19091,C23.550.589.500.725,Retinal Neovascularization
19092,C23.550.695,Muscle Weakness
19093,C23.550.717,Necrosis
19094,C23.550.717.182,Dental Pulp Necrosis
19095,C23.550.717.273,"DNA Degradation, Necrotic"
19096,C23.550.717.365,Fat Necrosis
19097,C23.550.717.427,Gangrene
19098,C23.550.717.489,Infarction
19099,C23.550.717.732,Osteonecrosis
19100,C23.550.717.732.183,Bisphosphonate-Associated Osteonecrosis of the Jaw
19101,C23.550.717.732.368,Femur Head Necrosis
19102,C23.550.722,Neointima
19103,C23.550.727,Neoplastic Processes
19104,C23.550.727.045,Anaplasia
19105,C23.550.727.098,Carcinogenesis
19106,C23.550.727.098.500,"Cell Transformation, Neoplastic"
19107,C23.550.727.098.500.110,Blast Crisis
19108,C23.550.727.098.500.160,"Cell Transformation, Viral"
19109,C23.550.727.098.750,Cocarcinogenesis
19110,C23.550.727.645,Neoplasm Invasiveness
19111,C23.550.727.645.500,Leukemic Infiltration
19112,C23.550.727.650,Neoplasm Metastasis
19113,C23.550.727.650.560,Lymphatic Metastasis
19114,C23.550.727.650.695,Neoplasm Micrometastasis
19115,C23.550.727.650.830,Neoplasm Seeding
19116,C23.550.727.650.895,"Neoplasms, Unknown Primary"
19117,C23.550.727.650.900,"Neoplastic Cells, Circulating"
19118,C23.550.727.655,"Neoplasm Recurrence, Local"
19119,C23.550.727.670,"Neoplasm Regression, Spontaneous"
19120,C23.550.727.700,"Neoplasm, Residual"
19121,C23.550.727.850,Oncogene Addiction
